train_loss val_loss train_acc val_acc
1.05120106114638595107e-01 8.51563604740467050558e-02 2.00383333333333329973e-01 2.89700000000000013056e-01
8.07545379708440452804e-02 7.66321441618996318512e-02 3.68449999999999999734e-01 4.22999999999999987121e-01
7.24889917388865240300e-02 6.86649630092293905559e-02 4.90533333333333321225e-01 5.37399999999999988809e-01
6.50589082992185652188e-02 6.15074167403871427395e-02 5.87049999999999960743e-01 6.25600000000000044942e-01
5.84792671389072066246e-02 5.52732572714372746847e-02 6.61183333333333345117e-01 6.90500000000000002665e-01
5.29301590268081226243e-02 5.01807014677108573220e-02 7.12550000000000016698e-01 7.38500000000000045297e-01
4.84844714978028765162e-02 4.61644279311088506779e-02 7.47049999999999991829e-01 7.63599999999999945466e-01
4.49715273237145732321e-02 4.29344025763553488462e-02 7.70166666666666666075e-01 7.90499999999999980460e-01
4.21354531597716852609e-02 4.03178437624555144336e-02 7.86699999999999954881e-01 8.03300000000000014033e-01
3.98021699306102538785e-02 3.81342197896124765477e-02 7.99733333333333296089e-01 8.17100000000000048495e-01
3.78431869499837592041e-02 3.62942787346113848734e-02 8.10499999999999998224e-01 8.23400000000000020783e-01
3.61694184415363093055e-02 3.47070866058172070034e-02 8.18599999999999994316e-01 8.31300000000000038902e-01
3.47245590945877910527e-02 3.33267496006014393717e-02 8.26566666666666671759e-01 8.38400000000000034106e-01
3.34594030443258125262e-02 3.21172019315386358951e-02 8.32783333333333319892e-01 8.44700000000000006395e-01
3.23434065085172195442e-02 3.10534358730146370364e-02 8.38433333333333363768e-01 8.48400000000000042988e-01
3.13469550123334078640e-02 3.00932014223795583907e-02 8.42783333333333328774e-01 8.53299999999999947420e-01
3.04529644192639385725e-02 2.92451863349210555709e-02 8.46716666666666673002e-01 8.58199999999999962874e-01
2.96474322814763019407e-02 2.84621289749764291854e-02 8.50500000000000033751e-01 8.60500000000000042633e-01
2.89092930565654077091e-02 2.77486876037075363977e-02 8.53766666666666673713e-01 8.63299999999999956302e-01
2.82353869360149750678e-02 2.70966452242502146841e-02 8.57133333333333302662e-01 8.64800000000000013145e-01
2.76144693499680050908e-02 2.65004628664751197553e-02 8.60349999999999948130e-01 8.67299999999999959854e-01
2.70420275927613917855e-02 2.59524529764297434697e-02 8.62866666666666670693e-01 8.69999999999999995559e-01
2.65081470430055705922e-02 2.54302635382169170408e-02 8.65500000000000047073e-01 8.72700000000000031264e-01
2.60123656817231249661e-02 2.49590046195584322475e-02 8.67149999999999976374e-01 8.74800000000000022027e-01
2.55478079262994976772e-02 2.45142100946898894298e-02 8.69266666666666631968e-01 8.78000000000000002665e-01
2.51116981551799643702e-02 2.40860322642835814055e-02 8.71633333333333371051e-01 8.78700000000000036593e-01
2.47014170427971163635e-02 2.36919676271369721021e-02 8.72999999999999998224e-01 8.80800000000000027356e-01
2.43172516122468936051e-02 2.33166246519185098307e-02 8.74683333333333368209e-01 8.82399999999999962164e-01
2.39534694456797342399e-02 2.29647155834177725542e-02 8.76533333333333386506e-01 8.84199999999999985967e-01
2.36074803223631016214e-02 2.26299534126738789708e-02 8.77850000000000019185e-01 8.84499999999999952927e-01
2.32797010392908863829e-02 2.23185279809797222639e-02 8.79416666666666624330e-01 8.86000000000000009770e-01
2.29683176719350824746e-02 2.20198908923058232767e-02 8.80933333333333346005e-01 8.87099999999999999645e-01
2.26726281632428049162e-02 2.17376189264642284693e-02 8.82149999999999989697e-01 8.88900000000000023448e-01
2.23898365490945404355e-02 2.14687539314134430424e-02 8.83549999999999946532e-01 8.89700000000000046363e-01
2.21204450585905827709e-02 2.12189571122597397945e-02 8.84733333333333371584e-01 8.91900000000000026112e-01
2.18636549332577104221e-02 2.09661759987494963897e-02 8.85733333333333372472e-01 8.92800000000000038014e-01
2.16184047896570662173e-02 2.07226391435923959494e-02 8.86750000000000038192e-01 8.94299999999999983835e-01
2.13828354486375743493e-02 2.05010389854127644815e-02 8.879333
